STATEFP,PUMA5CE,PUMA NAME
1,100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties"
1,200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)
1,301,Huntsville (North) & Madison (East) Cities
1,302,Huntsville City (Central & South)
1,400,DeKalb & Jackson Counties
1,500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)
1,600,Morgan & Lawrence Counties--Decatur City
1,700,Cullman & Winston Counties
1,800,St. Clair & Blount Counties
1,900,Etowah County
1,1000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties"
1,1100,Calhoun County
1,1200,Shelby County
1,1301,Birmingham City (West)
1,1302,Birmingham City (East)
1,1303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities"
1,1304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities"
1,1305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities"
1,1400,"Walker, Marion (South & West), Fayette & Lamar Counties"
1,1500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)
1,1600,Tuscaloosa & Northport (Southeast) Cities
1,1700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties"
1,1800,"Chilton, Tallapoosa, Chambers & Coosa Counties"
1,1900,Lee County--Auburn City
1,2000,Montgomery City & Pike Road Town (North)
1,2100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties"
1,2200,Southwest Alabama
1,2300,"Coffee, Covington, Butler & Crenshaw Counties"
1,2400,"Russell, Pike, Barbour, Macon & Bullock Counties"
1,2500,"Houston, Dale, Geneva & Henry Counties--Dothan City"
1,2600,Baldwin County
1,2701,Mobile City (East)
1,2702,Mobile City (West)
1,2703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City"
2,101,Anchorage Municipality (North)
2,102,Anchorage Municipality (South)
2,200,Matanuska-Susitna & Kenai Peninsula Boroughs
2,300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska"
2,400,Subsistence Alaska
4,100,Maricopa County--Gilbert (South) & Queen Creek Towns
4,101,Maricopa County--Mesa City (East)
4,102,Maricopa County--Mesa City (North Central)
4,103,Maricopa County--Mesa City (West)
4,104,Maricopa County--Mesa City (South Central)
4,105,Maricopa County--Gilbert Town (North)
4,106,Maricopa County--Chandler City (Northeast)
4,107,Maricopa County--Chandler City (South)
4,108,Maricopa County--Tempe (South) & Chandler (Northwest) Cities
4,109,Maricopa County--Tempe City (North)
4,110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town
