IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia
9991,Ozono,µg/m³,681,Moggio,1194,LC,Moggio,N,12/07/2006,,5084478,538586,45.91278752030292,9.497538167653424,"(45.91278752030292, 9.497538167653424)",10,10
9859,Monossido di Carbonio,mg/m³,673,Voghera - via Pozzoni,90,PV,Voghera,N,05/07/2005,,4982900,500665,44.99954598914026,9.008437381815693,"(44.99954598914026, 9.008437381815693)",7,7
12613,Nikel,ng/m³,670,Mantova - S.Agnese,22,MN,Mantova,N,19/02/2008,,5002356,641122,45.16056833010576,10.79556411370788,"(45.16056833010576, 10.79556411370788)",9,9
6364,Ossidi di Azoto,µg/m³,517,Turbigo,141,MI,Turbigo,N,11/01/1990,,5041480,479423,45.52655086994247,8.736496578379215,"(45.52655086994247, 8.736496578379215)",4,4
6915,PM10 (SM2005),µg/m³,554,Saronno - via Santuario,212,VA,Saronno,N,16/12/2003,,5052520,503123,45.626218960836006,9.04006309067821,"(45.626218960836006, 9.04006309067821)",1,1
5577,Biossido di Azoto,µg/m³,574,Lecco - Via Amendola,214,LC,Lecco,N,17/02/1991,,5077479,530713,45.850191194578535,9.395577066893223,"(45.850191194578535, 9.395577066893223)",10,10
5801,Monossido di Carbonio,mg/m³,562,Mariano Comense,256,CO,Mariano Comense,S,18/12/1991,04/01/2012,5059472,514067,45.68865731381679,9.180657768638271,"(45.68865731381679, 9.180657768638271)",2,2
10507,Biossido di Azoto,µg/m³,1269,Dalmine - via Verdi,207,BG,Dalmine,N,12/02/2010,,5055304,546847,45.64970251236247,9.601223338785262,"(45.64970251236247, 9.601223338785262)",5,5
6248,Ossidi di Azoto,µg/m³,574,Lecco - Via Amendola,214,LC,Lecco,N,01/01/1991,,5077479,530713,45.850191194578535,9.395577066893223,"(45.850191194578535, 9.395577066893223)",10,10
6368,Ossidi di Azoto,µg/m³,507,Villasanta $,176,MB,Villasanta,S,13/02/1990,20/06/2010,5050610,523948,45.608621349658364,9.307118451572562,"(45.608621349658364, 9.307118451572562)",12,12
6889,Biossido di Azoto,µg/m³,667,Marmirolo - Bosco Fontana,22,MN,Marmirolo,S,01/01/2003,30/07/2018,5007554,636848,45.20817903938493,10.74263625117323,"(45.20817903938493, 10.74263625117323)",9,9
6784,Ossidi di Azoto,µg/m³,652,Brescia - via Turati,154,BS,Brescia,N,01/10/1999,,5043626,596168,45.539529434955995,10.231785907477223,"(45.539529434955995, 10.231785907477223)",6,6
5731,Ozono,µg/m³,566,Olgiate Comasco - via Roma $,404,CO,Olgiate Comasco,S,01/08/1996,15/04/2010,5070038,497388,45.78389725453634,8.966397886811311,"(45.78389725453634, 8.966397886811311)",2,2
6651,Particolato Totale Sospeso,µg/m³,503,Milano - P.zza  Zavattari,122,MI,Milano,S,11/05/1990,01/08/1999,5035847,511082,45.47606340509791,9.141786267186658,"(45.47606340509791, 9.141786267186658)",4,4
6948,PM10 (SM2005),µg/m³,644,Vigevano - viale  Petrarca,107,PV,Vigevano,S,06/06/2002,19/09/2013,5019220,489053,45.326401500542325,8.860310253579987,"(45.326401500542325, 8.860310253579987)",7,7
9880,Monossido di Carbonio,mg/m³,674,Monza - via Machiavelli,162,MB,Monza,N,21/10/2005,,5047450,521343,45.58026348442243,9.273573092713274,"(45.58026348442243, 9.273573092713274)",12,12
5510,Biossido di Azoto,µg/m³,507,Villasanta $,176,MB,Villasanta,S,13/02/1990,20/06/2010,5050610,523948,45.608621349658364,9.307118451572562,"(45.608621349658364, 9.307118451572562)",12,12
10149,PM10 (SM2005),µg/m³,701,Ostiglia - via Colombo,14,MN,Ostiglia,S,01/01/2007,01/01/2017,4993316,668216,45.073311155731965,11.137034007299844,"(45.073311155731965, 11.137034007299844)",9,9
10352,PM10 (SM2005),µg/m³,517,Turbigo,141,MI,Turbigo,N,01/01/2008,,5041480,479423,45.52655086994247,8.736496578379215,"(45.52655086994247, 8.736496578379215)",4,4
6686,Biossido di Zolfo,µg/m³,642,Pavia - via Folperti,77,PV,Pavia,N,01/06/2002,,5004590,512932,45.19467609907785,9.164638300630086,"(45.19467609907785, 9.164638300630086)",7,7
5595,Biossido di Azoto,µg/m³,592,Treviglio,191,BG,Treviglio,N,02/06/1991,,5040815,546236,45.51933498138716,9.592009994888425,"(45.51933498138716, 9.592009994888425)",5,5
10399,Particelle sospese PM2.5,µg/m³,583,Bergamo - via Meucci,249,BG,Bergamo,N,20/12/2008,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)",5,5
6425,Monossido di Carbonio,mg/m³,631,Piadena,30,CR,Piadena,S,19/05/1996,04/01/2012,4998295,608506,45.12979322367744,10.379831668522419,"(45.12979322367744, 10.379831668522419)",8,8
5963,Biossido di Azoto,µg/m³,631,Piadena,30,CR,Piadena,S,30/11/1992,30/07/2018,4998295,608506,45.12979322367744,10.379831668522419,"(45.12979322367744, 10.379831668522419)",8,8
5639,Biossido di Zolfo,µg/m³,509,Rivolta d` Adda - via Beccaria,101,CR,Rivolta d'Adda,S,14/12/1984,12/06/2008,5035130,539972,45.46855301694732,9.511345333837518,"(45.46855301694732, 9.511345333837518)",8,8
9918,Ossidi di Azoto,µg/m³,664,Mantova - p.zza Gramsci,18,MN,Mantova,N,08/06/2004,,5001351,640031,45.151743379576594,10.78140770009565,"(45.151743379576594, 10.78140770009565)",9,9
5691,Biossido di Zolfo,µg/m³,608,Codogno - via Trento,59,LO,Codogno,N,13/01/2000,,5000892,554872,45.15937280234111,9.69814824935254,"(45.15937280234111, 9.69814824935254)",11,11
5727,Ozono,µg/m³,543,Vimercate,194,MB,Vimercate,S,11/01/1995,01/01/2018,5051330,528723,45.614920870442226,9.368396161785157,"(45.614920870442226, 9.368396161785157)",12,12
5948,Biossido di Azoto,µg/m³,625,Casalmaggiore - via Volta $,23,CR,Casalmaggiore,S,19/05/1996,21/02/2007,4981793,612537,44.980660403835316,10.427376916159512,"(44.980660403835316, 10.427376916159512)",8,8
5598,Biossido di Azoto,µg/m³,595,Filago - via Don Milani,190,BG,Filago,N,06/03/1992,,5053519,543342,45.63386450908066,9.556084255790864,"(45.63386450908066, 9.556084255790864)",5,5
20005,BlackCarbon,µg/m³,548,Milano - via Senato,118,MI,Milano,N,30/09/2013,,5035238,515435,45.470499014097,9.197460360112531,"(45.470499014097, 9.197460360112531)",4,4
9854,Monossido di Carbonio,mg/m³,672,Cornale (Voghera Energia),74,PV,Cornale,N,29/07/2005,,4987406,493238,45.04007657202963,8.914144599002409,"(45.04007657202963, 8.914144599002409)",7,7
6841,Biossido di Azoto,µg/m³,659,Odolo,349,BS,Odolo,N,13/12/2013,,5055661,608260,45.64604963372525,10.38929530279196,"(45.64604963372525, 10.38929530279196)",6,6
5586,Biossido di Azoto,µg/m³,583,Bergamo - via Meucci,249,BG,Bergamo,N,01/06/1989,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)",5,5
12585,PM10 (SM2005),µg/m³,1303,Cremona - via Gerre Borghi,36,CR,Cremona,S,01/01/2012,01/01/2017,4995675,584111,45.10953938027215,10.069230734956498,"(45.10953938027215, 10.069230734956498)",8,8
5605,Biossido di Azoto,µg/m³,602,Melegnano,83,MI,Melegnano,S,13/01/2000,,5022361,525789,45.35428575070997,9.329243424113708,"(45.35428575070997, 9.329243424113708)",4,4
10077,PM10 (SM2005),µg/m³,694,Salionze,109,VR,Salionze,S,29/11/2006,01/01/2017,5029205,635124,45.40331375821289,10.72659797077939,"(45.40331375821289, 10.72659797077939)",,
5757,PM10,µg/m³,590,Ponte S.Pietro,225,BG,Ponte San Pietro,S,28/01/2000,17/10/2002,5060449,545762,45.696081938463465,9.587784018279269,"(45.696081938463465, 9.587784018279269)",5,5
6622,Particolato Totale Sospeso,µg/m³,573,Colico,229,LC,Colico,S,17/02/1991,03/10/2002,5109468,529713,46.1381409051264,9.384687247651794,"(46.1381409051264, 9.384687247651794)",10,10
5730,Ozono,µg/m³,564,Erba - via Battisti,279,CO,Erba,N,01/01/2009,,5072803,517232,45.808573806922965,9.221779204488435,"(45.808573806922965, 9.221779204488435)",2,2
6642,Particolato Totale Sospeso,µg/m³,542,Meda,222,MB,Meda,S,01/11/1995,04/02/1998,5056480,512203,45.66176219189168,9.156643984551597,"(45.66176219189168, 9.156643984551597)",12,12
6779,Ossidi di Azoto,µg/m³,651,Brescia - via Triumplina $,175,BS,Brescia,S,16/01/1999,18/10/2005,5047187,596090,45.57158552261201,10.23148691302886,"(45.57158552261201, 10.23148691302886)",6,6
6328,Ossidi di Azoto,µg/m³,501,Milano - viale Marche,129,MI,Milano,N,18/09/1980,,5038105,514918,45.49631644365102,9.190933555313624,"(45.49631644365102, 9.190933555313624)",4,4
