Subject,ZCTA5 10006,,,ZCTA5 10007,,,ZCTA5 10005,,,ZCTA5 10280,,,ZCTA5 10065,,,ZCTA5 10017,,,ZCTA5 10012,,,ZCTA5 11109,,,ZCTA5 10010,,,ZCTA5 10069,,,ZCTA5 10024,,,ZCTA5 10464,,,ZCTA5 10004,,,ZCTA5 10022,,,ZCTA5 10128,,,ZCTA5 10028,,,ZCTA5 10021,,,ZCTA5 10023,,,ZCTA5 11201,,,ZCTA5 10003,,,ZCTA5 10308,,,ZCTA5 10016,,,ZCTA5 10025,,,ZCTA5 10009,,,ZCTA5 11215,,,ZCTA5 10309,,,ZCTA5 10013,,,ZCTA5 10019,,,ZCTA5 10471,,,ZCTA5 10306,,,ZCTA5 10044,,,ZCTA5 10014,,,ZCTA5 10036,,,ZCTA5 10075,,,ZCTA5 10305,,,ZCTA5 10310,,,ZCTA5 10018,,,ZCTA5 11697,,,ZCTA5 10307,,,ZCTA5 10001,,,ZCTA5 11360,,,ZCTA5 10312,,,ZCTA5 11231,,,ZCTA5 10314,,,ZCTA5 10011,,,ZCTA5 10465,,,ZCTA5 11363,,,ZCTA5 10463,,,ZCTA5 11362,,,ZCTA5 11222,,,ZCTA5 10038,,,ZCTA5 11105,,,ZCTA5 10026,,,ZCTA5 11209,,,ZCTA5 10282,,,ZCTA5 10304,,,ZCTA5 11101,,,ZCTA5 10302,,,ZCTA5 11358,,,ZCTA5 10027,,,ZCTA5 11216,,,ZCTA5 10002,,,ZCTA5 11364,,,ZCTA5 11217,,,ZCTA5 10301,,,ZCTA5 10029,,,ZCTA5 11205,,,ZCTA5 10461,,,ZCTA5 11375,,,ZCTA5 11379,,,ZCTA5 10470,,,ZCTA5 11361,,,ZCTA5 11106,,,ZCTA5 11365,,,ZCTA5 10462,,,ZCTA5 10039,,,ZCTA5 10475,,,ZCTA5 10035,,,ZCTA5 10303,,,ZCTA5 11426,,,ZCTA5 11228,,,ZCTA5 11103,,,ZCTA5 10034,,,ZCTA5 11357,,
,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct
D1. AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,3454,+/- 410,,7023,+/- 824,,8831,+/- 762,,9384,+/- 795,,28109,+/- 1660,,15801,+/- 1198,,23411,+/- 989,,5981,+/- 849,,33730,+/- 2033,,5085,+/- 980,,59001,+/- 2167,,4434,+/- 610,,3028,+/- 442,,31125,+/- 1605,,59256,+/- 1931,,47793,+/- 2139,,46215,+/- 2515,,62435,+/- 2238,,62823,+/- 1267,,54682,+/- 1754,,30186,+/- 1544,,51057,+/- 2315,,92805,+/- 2628,,57925,+/- 1823,,70156,+/- 1583,,33531,+/- 1561,,28709,+/- 1287,,43703,+/- 1809,,21896,+/- 1051,,53142,+/- 1630,,11682,+/- 825,,30738,+/- 1304,,27428,+/- 1520,,21556,+/- 2170,,42298,+/- 1618,,23262,+/- 1146,,9687,+/- 739,,3540,+/- 423,,15232,+/- 756,,22924,+/- 1190,,19621,+/- 865,,61741,+/- 1656,,37845,+/- 1295,,90761,+/- 1933,,50472,+/- 1901,,44205,+/- 1512,,6952,+/- 392,,71360,+/- 2051,,18721,+/- 1019,,36492,+/- 1208,,22800,+/- 1114,,37382,+/- 1328,,39363,+/- 1749,,67809,+/- 1828,,5593,+/- 597,,41064,+/- 2097,,30043,+/- 1462,,18204,+/- 988,,37190,+/- 1208,,64548,+/- 1947,,56308,+/- 1651,,74993,+/- 1909,,36806,+/- 1401,,41407,+/- 1639,,38733,+/- 1387,,79597,+/- 2299,,46064,+/- 1551,,50348,+/- 1808,,73488,+/- 1710,,37851,+/- 1452,,15432,+/- 791,,27246,+/- 808,,38363,+/- 1439,,44983,+/- 1704,,76756,+/- 1984,,27726,+/- 1517,,43208,+/- 2382,,35743,+/- 1629,,25947,+/- 1488,,20801,+/- 1201,,44994,+/- 1468,,36140,+/- 1316,,42910,+/- 1744,,39902,+/- 1595,
  Under 5 years,251,+/- 135,7.3,539,+/- 200,7.7,522,+/- 239,5.9,711,+/- 262,7.6,1650,+/- 351,5.9,483,+/- 231,3.1,822,+/- 223,3.5,569,+/- 204,9.5,1699,+/- 516,5,368,+/- 194,7.2,3588,+/- 610,6.1,220,+/- 137,5,125,+/- 60,4.1,1093,+/- 331,3.5,3204,+/- 515,5.4,1940,+/- 436,4.1,2869,+/- 720,6.2,3504,+/- 659,5.6,4316,+/- 431,6.9,1767,+/- 332,3.2,1581,+/- 314,5.2,1910,+/- 507,3.7,3911,+/- 736,4.2,1463,+/- 414,2.5,5718,+/- 591,8.2,2109,+/- 377,6.3,1878,+/- 373,6.5,1245,+/- 338,2.8,1178,+/- 217,5.4,2308,+/- 398,4.3,558,+/- 195,4.8,1188,+/- 333,3.9,1138,+/- 459,4.1,1041,+/- 428,4.8,2654,+/- 444,6.3,1550,+/- 288,6.7,332,+/- 172,3.4,224,+/- 91,6.3,641,+/- 163,4.2,472,+/- 180,2.1,1268,+/- 320,6.5,3411,+/- 410,5.5,3228,+/- 525,8.5,5235,+/- 502,5.8,1546,+/- 378,3.1,2911,+/- 477,6.6,339,+/- 138,4.9,4927,+/- 564,6.9,962,+/- 263,5.1,1782,+/- 277,4.9,899,+/- 252,3.9,1833,+/- 265,4.9,2646,+/- 498,6.7,4307,+/- 380,6.4,934,+/- 292,16.7,2528,+/- 525,6.2,2025,+/- 333,6.7,1086,+/- 240,6,1956,+/- 300,5.3,3288,+/- 518,5.1,2879,+/- 396,5.1,2637,+/- 523,3.5,1980,+/- 316,5.4,2988,+/- 416,7.2,2446,+/- 406,6.3,3644,+/- 589,4.6,4303,+/- 501,9.3,3177,+/- 431,6.3,5169,+/- 583,7,1924,+/- 345,5.1,995,+/- 198,6.4,1210,+/- 190,4.4,1645,+/- 318,4.3,3300,+/- 611,7.3,4837,+/- 570,6.3,2203,+/- 531,7.9,1786,+/- 516,4.1,2261,+/- 448,6.3,1807,+/- 352,7,1613,+/- 366,7.8,2846,+/- 335,6.3,1612,+/- 286,4.5,2532,+/- 487,5.9,2409,+/- 466,6
  5 to 9 years,116,+/- 79,3.4,526,+/- 190,7.5,302,+/- 156,3.4,628,+/- 213,6.7,1000,+/- 285,3.6,186,+/- 112,1.2,393,+/- 125,1.7,221,+/- 135,3.7,997,+/- 366,3,416,+/- 243,8.2,2759,+/- 532,4.7,271,+/- 123,6.1,51,+/- 41,1.7,838,+/- 288,2.7,2138,+/- 467,3.6,1997,+/- 404,4.2,2303,+/- 585,5,2118,+/- 467,3.4,2942,+/- 356,4.7,926,+/- 224,1.7,1485,+/- 264,4.9,865,+/- 379,1.7,3507,+/- 522,3.8,1430,+/- 399,2.5,4228,+/- 430,6,2067,+/- 407,6.2,1550,+/- 288,5.4,761,+/- 257,1.7,905,+/- 202,4.1,2957,+/- 432,5.6,345,+/- 175,3,608,+/- 177,2,462,+/- 208,1.7,1252,+/- 543,5.8,2799,+/- 405,6.6,1561,+/- 249,6.7,152,+/- 93,1.6,192,+/- 76,5.4,1017,+/- 258,6.7,526,+/- 176,2.3,772,+/- 244,3.9,3654,+/- 411,5.9,2398,+/- 365,6.3,5261,+/- 570,5.8,1352,+/- 280,2.7,2343,+/- 386,5.3,399,+/- 125,5.7,4427,+/- 500,6.2,1024,+/- 239,5.5,1081,+/- 192,3,598,+/- 178,2.6,1411,+/- 216,3.8,1991,+/- 393,5.1,3418,+/- 360,5,397,+/- 137,7.1,2847,+/- 478,6.9,1464,+/- 303,4.9,1185,+/- 273,6.5,1493,+/- 201,4,3218,+/- 476,5,2365,+/- 366,4.2,2640,+/- 431,3.5,1794,+/- 314,4.9,1642,+/- 260,4,2137,+/- 339,5.5,4373,+/- 592,5.5,3638,+/- 372,7.9,2744,+/- 365,5.5,4242,+/- 460,5.8,2272,+/- 315,6,768,+/- 200,5,1124,+/- 190,4.1,1911,+/- 279,5,2059,+/- 388,4.6,4870,+/- 516,6.3,1716,+/- 451,6.2,2422,+/- 654,5.6,1734,+/- 292,4.9,1775,+/- 304,6.8,1285,+/- 401,6.2,2312,+/- 262,5.1,948,+/- 182,2.6,2224,+/- 415,5.2,1785,+/- 290,4.5
  10 to 14 years,68,+/- 52,2,296,+/- 121,4.2,176,+/- 154,2,454,+/- 173,4.8,916,+/- 271,3.3,266,+/- 179,1.7,396,+/- 141,1.7,81,+/- 79,1.4,870,+/- 240,2.6,274,+/- 166,5.4,2485,+/- 560,4.2,218,+/- 134,4.9,117,+/- 94,3.9,575,+/- 194,1.8,1911,+/- 407,3.2,1621,+/- 331,3.4,1760,+/- 535,3.8,2018,+/- 511,3.2,2049,+/- 298,3.3,670,+/- 211,1.2,1792,+/- 303,5.9,690,+/- 212,1.4,3836,+/- 679,4.1,2108,+/- 453,3.6,3066,+/- 337,4.4,1959,+/- 366,5.8,986,+/- 266,3.4,620,+/- 276,1.4,893,+/- 177,4.1,2962,+/- 420,5.6,300,+/- 130,2.6,582,+/- 152,1.9,301,+/- 169,1.1,736,+/- 359,3.4,2125,+/- 327,5,1541,+/- 245,6.6,103,+/- 81,1.1,246,+/- 145,6.9,1327,+/- 242,8.7,712,+/- 236,3.1,911,+/- 229,4.6,4298,+/- 449,7,1902,+/- 315,5,5662,+/- 547,6.2,1087,+/- 261,2.2,2032,+/- 308,4.6,439,+/- 122,6.3,3653,+/- 521,5.1,635,+/- 147,3.4,779,+/- 169,2.1,663,+/- 224,2.9,1238,+/- 208,3.3,1873,+/- 388,4.8,3192,+/- 365,4.7,289,+/- 123,5.2,2479,+/- 377,6,1209,+/- 298,4,1193,+/- 209,6.6,1906,+/- 242,5.1,2923,+/- 447,4.5,1955,+/- 326,3.5,2824,+/- 393,3.8,2037,+/- 299,5.5,1756,+/- 286,4.2,2417,+/- 365,6.2,4921,+/- 598,6.2,2837,+/- 324,6.2,3038,+/- 426,6,2984,+/- 363,4.1,2251,+/- 282,5.9,741,+/- 175,4.8,1474,+/- 215,5.4,1334,+/- 274,3.5,2637,+/- 522,5.9,4390,+/- 479,5.7,2020,+/- 417,7.3,1915,+/- 497,4.4,1513,+/- 272,4.2,2111,+/- 357,8.1,1067,+/- 219,5.1,2389,+/- 281,5.3,1096,+/- 213,3,2343,+/- 429,5.5,2459,+/- 363,6.2
  15 to 19 years,14,+/- 30,0.4,116,+/- 63,1.7,199,+/- 133,2.3,192,+/- 99,2,356,+/- 135,1.3,303,+/- 167,1.9,642,+/- 177,2.7,15,+/- 39,0.3,1761,+/- 281,5.2,95,+/- 73,1.9,1674,+/- 341,2.8,113,+/- 74,2.5,80,+/- 52,2.6,611,+/- 191,2,1691,+/- 360,2.9,1148,+/- 337,2.4,950,+/- 277,2.1,1801,+/- 329,2.9,2570,+/- 340,4.1,7496,+/- 579,13.7,1742,+/- 300,5.8,992,+/- 234,1.9,4050,+/- 559,4.4,2011,+/- 444,3.5,2355,+/- 302,3.4,1890,+/- 371,5.6,898,+/- 210,3.1,889,+/- 324,2,1568,+/- 237,7.2,3009,+/- 368,5.7,281,+/- 132,2.4,529,+/- 147,1.7,444,+/- 170,1.6,763,+/- 381,3.5,2043,+/- 301,4.8,1602,+/- 251,6.9,106,+/- 116,1.1,176,+/- 81,5,1091,+/- 214,7.2,1161,+/- 268,5.1,654,+/- 170,3.3,3565,+/- 449,5.8,1622,+/- 318,4.3,5152,+/- 463,5.7,1235,+/- 319,2.4,2908,+/- 348,6.6,219,+/- 78,3.2,3197,+/- 444,4.5,769,+/- 167,4.1,867,+/- 200,2.4,1402,+/- 274,6.1,1228,+/- 227,3.3,1583,+/- 312,4,2779,+/- 330,4.1,119,+/- 91,2.1,2934,+/- 411,7.1,1223,+/- 261,4.1,1363,+/- 264,7.5,1763,+/- 223,4.7,5167,+/- 491,8,1881,+/- 260,3.3,2969,+/- 406,4,2102,+/- 342,5.7,1519,+/- 288,3.7,2690,+/- 543,6.9,5305,+/- 566,6.7,3468,+/- 392,7.5,2169,+/- 296,4.3,2063,+/- 317,2.8,1608,+/- 229,4.2,640,+/- 170,4.1,1364,+/- 201,5,1207,+/- 277,3.1,2380,+/- 435,5.3,4314,+/- 417,5.6,1649,+/- 341,5.9,2174,+/- 528,5,1777,+/- 297,5,2233,+/- 324,8.6,880,+/- 196,4.2,2702,+/- 247,6,1208,+/- 209,3.3,2381,+/- 401,5.5,1863,+/- 314,4.7
  20 to 24 years,300,+/- 171,8.7,223,+/- 89,3.2,1046,+/- 378,11.8,239,+/- 156,2.5,1785,+/- 447,6.4,948,+/- 350,6,2727,+/- 494,11.6,213,+/- 129,3.6,3076,+/- 552,9.1,235,+/- 140,4.6,1357,+/- 320,2.3,213,+/- 144,4.8,108,+/- 64,3.6,966,+/- 258,3.1,2644,+/- 439,4.5,1580,+/- 361,3.3,880,+/- 325,1.9,2268,+/- 430,3.6,3344,+/- 396,5.3,5587,+/- 649,10.2,1897,+/- 316,6.3,5384,+/- 944,10.5,6943,+/- 774,7.5,5671,+/- 834,9.8,2611,+/- 322,3.7,1969,+/- 371,5.9,1916,+/- 303,6.7,2730,+/- 527,6.2,1421,+/- 254,6.5,3230,+/- 430,6.1,700,+/- 246,6,1198,+/- 291,3.9,2304,+/- 445,8.4,778,+/- 347,3.6,2634,+/- 376,6.2,1409,+/- 231,6.1,844,+/- 241,8.7,201,+/- 94,5.7,988,+/- 219,6.5,2068,+/- 437,9,645,+/- 167,3.3,3516,+/- 470,5.7,1497,+/- 324,4,5508,+/- 565,6.1,2826,+/- 497,5.6,2992,+/- 372,6.8,275,+/- 96,4,3998,+/- 541,5.6,797,+/- 203,4.3,1806,+/- 286,4.9,2083,+/- 432,9.1,2320,+/- 292,6.2,2686,+/- 425,6.8,3354,+/- 357,4.9,44,+/- 51,0.8,2615,+/- 432,6.4,1991,+/- 381,6.6,1215,+/- 237,6.7,1852,+/- 223,5,8543,+/- 804,13.2,4603,+/- 498,8.2,4763,+/- 594,6.4,1567,+/- 251,4.3,1936,+/- 318,4.7,3129,+/- 412,8.1,7045,+/- 711,8.9,4327,+/- 492,9.4,3059,+/- 422,6.1,2141,+/- 333,2.9,1794,+/- 268,4.7,907,+/- 189,5.9,1498,+/- 229,5.5,2194,+/- 277,5.7,2576,+/- 428,5.7,5293,+/- 534,6.9,2066,+/- 408,7.5,2678,+/- 709,6.2,2496,+/- 443,7,1957,+/- 329,7.5,1387,+/- 233,6.7,2524,+/- 250,5.6,2455,+/- 277,6.8,2793,+/- 459,6.5,1897,+/- 313,4.8
  25 to 34 years,1439,+/- 300,41.7,1611,+/- 302,22.9,3508,+/- 568,39.7,1897,+/- 373,20.2,5847,+/- 678,20.8,4322,+/- 671,27.4,7376,+/- 802,31.5,2374,+/- 380,39.7,8774,+/- 1069,26,1021,+/- 328,20.1,10226,+/- 918,17.3,745,+/- 204,16.8,786,+/- 200,26,6305,+/- 769,20.3,14041,+/- 1075,23.7,12742,+/- 1403,26.7,9328,+/- 1013,20.2,11520,+/- 1105,18.5,15959,+/- 765,25.4,13818,+/- 1062,25.3,3515,+/- 512,11.6,17363,+/- 1376,34,16838,+/- 1433,18.1,14917,+/- 1369,25.8,15291,+/- 802,21.8,4346,+/- 543,13,5431,+/- 609,18.9,12010,+/- 1128,27.5,2407,+/- 332,11,6914,+/- 669,13,2551,+/- 479,21.8,8945,+/- 900,29.1,7993,+/- 947,29.1,3422,+/- 687,15.9,5969,+/- 523,14.1,2955,+/- 341,12.7,3897,+/- 503,40.2,259,+/- 81,7.3,1799,+/- 315,11.8,5810,+/- 608,25.3,1858,+/- 333,9.5,7486,+/- 569,12.1,7520,+/- 701,19.9,12819,+/- 801,14.1,12374,+/- 1043,24.5,5270,+/- 502,11.9,706,+/- 171,10.2,11085,+/- 847,15.5,1846,+/- 372,9.9,12143,+/- 754,33.3,5152,+/- 568,22.6,10341,+/- 616,27.7,8846,+/- 801,22.5,11642,+/- 677,17.2,976,+/- 215,17.5,5632,+/- 658,13.7,7719,+/- 628,25.7,3077,+/- 429,16.9,5221,+/- 451,14,13274,+/- 1056,20.6,15538,+/- 931,27.6,13764,+/- 1006,18.4,4321,+/- 467,11.7,10881,+/- 786,26.3,4984,+/- 490,12.9,14413,+/- 974,18.1,9058,+/- 605,19.7,8689,+/- 725,17.3,10963,+/- 711,14.9,4753,+/- 435,12.6,2350,+/- 344,15.2,3945,+/- 343,14.5,10307,+/- 715,26.9,6400,+/- 730,14.2,13001,+/- 850,16.9,4836,+/- 628,17.4,4406,+/- 975,10.2,7257,+/- 766,20.3,3754,+/- 463,14.5,3265,+/- 456,15.7,6167,+/- 450,13.7,11710,+/- 685,32.4,8043,+/- 772,18.7,4412,+/- 476,11.1
