Subject,ZCTA5 11229,,,ZCTA5 11223,,,ZCTA5 11102,,,ZCTA5 11235,,,ZCTA5 10037,,,ZCTA5 11214,,,ZCTA5 11356,,,ZCTA5 11374,,,ZCTA5 11238,,,ZCTA5 11378,,,ZCTA5 11366,,,ZCTA5 11694,,,ZCTA5 11206,,,ZCTA5 11367,,,ZCTA5 11415,,,ZCTA5 10458,,,ZCTA5 10473,,,ZCTA5 11693,,,ZCTA5 10466,,,ZCTA5 11385,,,ZCTA5 11414,,,ZCTA5 10460,,,ZCTA5 11224,,,ZCTA5 11221,,,ZCTA5 11427,,,ZCTA5 10451,,,ZCTA5 11218,,,ZCTA5 11104,,,ZCTA5 11422,,,ZCTA5 10467,,,ZCTA5 11435,,,ZCTA5 11234,,,ZCTA5 11354,,,ZCTA5 10032,,,ZCTA5 10456,,,ZCTA5 11233,,,ZCTA5 11213,,,ZCTA5 10030,,,ZCTA5 10469,,,ZCTA5 10455,,,ZCTA5 10459,,,ZCTA5 11207,,,ZCTA5 10033,,,ZCTA5 11417,,,ZCTA5 11204,,,ZCTA5 11370,,,ZCTA5 11230,,,ZCTA5 10457,,,ZCTA5 11419,,,ZCTA5 11239,,,ZCTA5 10453,,,ZCTA5 11692,,,ZCTA5 11210,,,ZCTA5 10454,,,ZCTA5 11220,,,ZCTA5 11420,,,ZCTA5 11004,,,ZCTA5 11418,,,ZCTA5 11211,,,ZCTA5 11412,,,ZCTA5 11225,,,ZCTA5 11355,,,ZCTA5 10474,,,ZCTA5 10040,,,ZCTA5 11423,,,ZCTA5 11434,,,ZCTA5 11413,,,ZCTA5 11212,,
,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct
D1. AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,83615,+/- 1997,,81789,+/- 2484,,30800,+/- 1110,,78128,+/- 1893,,21139,+/- 1274,,92946,+/- 2247,,23362,+/- 1289,,42653,+/- 1628,,54540,+/- 1740,,37279,+/- 1485,,14650,+/- 960,,21354,+/- 951,,88349,+/- 2041,,41824,+/- 1606,,19372,+/- 1131,,83960,+/- 2336,,59609,+/- 1886,,12919,+/- 1165,,72479,+/- 1791,,106717,+/- 2314,,29219,+/- 1494,,59505,+/- 1948,,46707,+/- 1586,,83835,+/- 2503,,24037,+/- 1048,,47798,+/- 1915,,74508,+/- 2273,,26119,+/- 1197,,32082,+/- 1695,,103732,+/- 2572,,59296,+/- 1407,,95666,+/- 2219,,55200,+/- 2265,,64264,+/- 2217,,94218,+/- 2526,,76819,+/- 2189,,66295,+/- 1791,,29882,+/- 1700,,73870,+/- 2253,,42283,+/- 1979,,48351,+/- 1780,,91972,+/- 2452,,59607,+/- 2225,,31927,+/- 1201,,76978,+/- 1957,,32514,+/- 1727,,89075,+/- 2360,,74554,+/- 2207,,49618,+/- 1871,,13244,+/- 864,,79606,+/- 1822,,20991,+/- 1218,,67040,+/- 1786,,38203,+/- 1531,,95643,+/- 2498,,48489,+/- 1693,,15234,+/- 989,,38517,+/- 1368,,102624,+/- 2613,,37458,+/- 1143,,58882,+/- 2022,,80853,+/- 2400,,12127,+/- 861,,44571,+/- 1936,,31400,+/- 1462,,65791,+/- 2329,,42443,+/- 1525,,76527,+/- 2734,
  Under 5 years,5306,+/- 516,6.3,7421,+/- 689,9.1,1661,+/- 283,5.4,4521,+/- 576,5.8,1997,+/- 500,9.4,6466,+/- 578,7,1849,+/- 375,7.9,2338,+/- 381,5.5,3294,+/- 453,6,2653,+/- 381,7.1,891,+/- 227,6.1,1389,+/- 332,6.5,7583,+/- 657,8.6,3368,+/- 510,8.1,1228,+/- 272,6.3,7161,+/- 701,8.5,3816,+/- 540,6.4,999,+/- 311,7.7,4427,+/- 550,6.1,6955,+/- 634,6.5,1613,+/- 417,5.5,4844,+/- 597,8.1,2692,+/- 524,5.8,5506,+/- 561,6.6,2007,+/- 385,8.3,3034,+/- 427,6.3,7400,+/- 656,9.9,1444,+/- 319,5.5,1948,+/- 310,6.1,8525,+/- 841,8.2,3924,+/- 429,6.6,5677,+/- 578,5.9,2766,+/- 486,5,2792,+/- 579,4.3,7236,+/- 720,7.7,6202,+/- 729,8.1,4661,+/- 491,7,2107,+/- 474,7.1,3846,+/- 522,5.2,3847,+/- 557,9.1,3691,+/- 469,7.6,6401,+/- 594,7,3606,+/- 622,6,1893,+/- 305,5.9,6599,+/- 587,8.6,1591,+/- 309,4.9,8307,+/- 656,9.3,7155,+/- 708,9.6,3090,+/- 422,6.2,648,+/- 286,4.9,6825,+/- 670,8.6,1430,+/- 253,6.8,4741,+/- 482,7.1,3060,+/- 447,8,7489,+/- 683,7.8,2433,+/- 374,5,1085,+/- 269,7.1,2795,+/- 366,7.3,9952,+/- 795,9.7,2189,+/- 310,5.8,3003,+/- 443,5.1,4605,+/- 521,5.7,1064,+/- 210,8.8,2238,+/- 467,5,1693,+/- 315,5.4,4342,+/- 526,6.6,2324,+/- 346,5.5,5099,+/- 720,6.7
  5 to 9 years,5095,+/- 476,6.1,5311,+/- 462,6.5,992,+/- 183,3.2,3587,+/- 392,4.6,1111,+/- 343,5.3,5489,+/- 486,5.9,1204,+/- 270,5.2,1827,+/- 322,4.3,2042,+/- 292,3.7,2230,+/- 284,6,629,+/- 159,4.3,903,+/- 234,4.2,6987,+/- 598,7.9,2950,+/- 517,7.1,1059,+/- 229,5.5,5697,+/- 646,6.8,3792,+/- 486,6.4,832,+/- 212,6.4,4261,+/- 398,5.9,6601,+/- 572,6.2,1053,+/- 289,3.6,4202,+/- 514,7.1,2620,+/- 405,5.6,4236,+/- 499,5.1,1182,+/- 237,4.9,3867,+/- 508,8.1,5381,+/- 445,7.2,1113,+/- 248,4.3,1643,+/- 294,5.1,7106,+/- 736,6.9,3735,+/- 437,6.3,5879,+/- 469,6.1,2300,+/- 478,4.2,2769,+/- 490,4.3,7322,+/- 658,7.8,5589,+/- 539,7.3,3655,+/- 404,5.5,1377,+/- 317,4.6,3615,+/- 472,4.9,3545,+/- 488,8.4,3728,+/- 409,7.7,6324,+/- 597,6.9,2852,+/- 429,4.8,1740,+/- 249,5.4,6128,+/- 463,8,1035,+/- 193,3.2,6423,+/- 520,7.2,6210,+/- 571,8.3,2519,+/- 282,5.1,1025,+/- 357,7.7,6561,+/- 571,8.2,1836,+/- 278,8.7,5135,+/- 419,7.7,3234,+/- 430,8.5,6563,+/- 505,6.9,2417,+/- 288,5,616,+/- 228,4,2477,+/- 345,6.4,6710,+/- 574,6.5,1891,+/- 262,5,2714,+/- 411,4.6,3763,+/- 450,4.7,965,+/- 212,8,2128,+/- 339,4.8,1593,+/- 284,5.1,3591,+/- 414,5.5,2581,+/- 341,6.1,3917,+/- 460,5.1
  10 to 14 years,4895,+/- 412,5.9,4568,+/- 469,5.6,1228,+/- 232,4,4083,+/- 466,5.2,1196,+/- 320,5.7,4961,+/- 470,5.3,1449,+/- 268,6.2,1340,+/- 289,3.1,2064,+/- 316,3.8,2215,+/- 300,5.9,919,+/- 207,6.3,1226,+/- 261,5.7,6436,+/- 577,7.3,2336,+/- 363,5.6,1005,+/- 191,5.2,6153,+/- 672,7.3,4377,+/- 564,7.3,643,+/- 178,5,4521,+/- 459,6.2,6421,+/- 511,6,2081,+/- 458,7.1,4421,+/- 496,7.4,2490,+/- 360,5.3,4278,+/- 487,5.1,1050,+/- 164,4.4,3207,+/- 492,6.7,5450,+/- 476,7.3,935,+/- 215,3.6,1708,+/- 285,5.3,7207,+/- 632,6.9,3079,+/- 331,5.2,6380,+/- 506,6.7,2173,+/- 349,3.9,2357,+/- 454,3.7,7756,+/- 664,8.2,4476,+/- 510,5.8,4502,+/- 467,6.8,1077,+/- 301,3.6,4840,+/- 516,6.6,2752,+/- 364,6.5,3577,+/- 428,7.4,5920,+/- 546,6.4,2723,+/- 523,4.6,2080,+/- 264,6.5,5963,+/- 427,7.7,1329,+/- 264,4.1,6544,+/- 537,7.3,6043,+/- 516,8.1,2803,+/- 337,5.6,658,+/- 268,5,5489,+/- 533,6.9,1736,+/- 320,8.3,4975,+/- 455,7.4,3289,+/- 448,8.6,5904,+/- 499,6.2,2858,+/- 364,5.9,500,+/- 163,3.3,2252,+/- 245,5.8,5893,+/- 568,5.7,2206,+/- 241,5.9,3264,+/- 473,5.5,3237,+/- 424,4,866,+/- 219,7.1,2142,+/- 388,4.8,1575,+/- 228,5,4650,+/- 584,7.1,2529,+/- 317,6,5080,+/- 531,6.6
  15 to 19 years,4007,+/- 375,4.8,4620,+/- 421,5.6,1279,+/- 240,4.2,3185,+/- 347,4.1,1070,+/- 310,5.1,4208,+/- 378,4.5,1263,+/- 250,5.4,1286,+/- 252,3,1488,+/- 269,2.7,2259,+/- 302,6.1,825,+/- 184,5.6,937,+/- 192,4.4,5902,+/- 603,6.7,2464,+/- 373,5.9,808,+/- 223,4.2,7999,+/- 613,9.5,3943,+/- 492,6.6,606,+/- 157,4.7,5157,+/- 492,7.1,5950,+/- 484,5.6,1503,+/- 343,5.1,3945,+/- 460,6.6,2537,+/- 368,5.4,4993,+/- 496,6,1223,+/- 212,5.1,3528,+/- 491,7.4,4073,+/- 384,5.5,905,+/- 192,3.5,1959,+/- 306,6.1,6131,+/- 596,5.9,2832,+/- 367,4.8,5739,+/- 455,6,2049,+/- 332,3.7,2441,+/- 404,3.8,7503,+/- 638,8,4457,+/- 457,5.8,4496,+/- 468,6.8,1434,+/- 301,4.8,5123,+/- 512,6.9,2976,+/- 361,7,3728,+/- 395,7.7,5607,+/- 487,6.1,2969,+/- 415,5,2122,+/- 257,6.6,4517,+/- 375,5.9,2195,+/- 276,6.8,5655,+/- 435,6.3,5583,+/- 541,7.5,2864,+/- 267,5.8,438,+/- 174,3.3,6160,+/- 511,7.7,1499,+/- 274,7.1,4961,+/- 441,7.4,3053,+/- 383,8,4707,+/- 402,4.9,3079,+/- 352,6.3,577,+/- 160,3.8,2554,+/- 279,6.6,5208,+/- 540,5.1,2365,+/- 261,6.3,3000,+/- 408,5.1,3064,+/- 342,3.8,956,+/- 204,7.9,2177,+/- 391,4.9,1691,+/- 235,5.4,4091,+/- 416,6.2,2924,+/- 298,6.9,4662,+/- 621,6.1
  20 to 24 years,5232,+/- 449,6.3,4793,+/- 472,5.9,2097,+/- 269,6.8,3310,+/- 380,4.2,1232,+/- 321,5.8,5229,+/- 475,5.6,1407,+/- 268,6,2016,+/- 316,4.7,2682,+/- 377,4.9,2095,+/- 254,5.6,1237,+/- 256,8.4,830,+/- 183,3.9,8049,+/- 654,9.1,2868,+/- 422,6.9,1095,+/- 228,5.7,8673,+/- 752,10.3,4685,+/- 556,7.9,915,+/- 240,7.1,6056,+/- 653,8.4,7307,+/- 567,6.8,1362,+/- 328,4.7,4817,+/- 570,8.1,2493,+/- 404,5.3,8461,+/- 632,10.1,1255,+/- 220,5.2,3586,+/- 518,7.5,4139,+/- 452,5.6,1082,+/- 230,4.1,2269,+/- 337,7.1,7343,+/- 760,7.1,3548,+/- 414,6,5331,+/- 436,5.6,2935,+/- 412,5.3,5702,+/- 752,8.9,8149,+/- 889,8.6,6274,+/- 631,8.2,5715,+/- 516,8.6,2106,+/- 400,7,5062,+/- 602,6.9,3507,+/- 443,8.3,3755,+/- 438,7.8,7165,+/- 578,7.8,4154,+/- 566,7,2494,+/- 282,7.8,4261,+/- 385,5.5,2844,+/- 330,8.7,6056,+/- 491,6.8,5936,+/- 626,8,4311,+/- 383,8.7,857,+/- 307,6.5,7073,+/- 614,8.9,1247,+/- 240,5.9,4277,+/- 424,6.4,3738,+/- 498,9.8,5886,+/- 468,6.2,3651,+/- 381,7.5,964,+/- 230,6.3,2852,+/- 316,7.4,6275,+/- 579,6.1,2837,+/- 324,7.6,3980,+/- 510,6.8,4488,+/- 481,5.6,953,+/- 221,7.9,3341,+/- 495,7.5,2060,+/- 273,6.6,4605,+/- 519,7,2660,+/- 341,6.3,4765,+/- 594,6.2
  25 to 34 years,10977,+/- 649,13.1,12683,+/- 790,15.5,8952,+/- 662,29.1,10497,+/- 700,13.4,3845,+/- 565,18.2,13561,+/- 745,14.6,3709,+/- 456,15.9,7240,+/- 603,17,14658,+/- 796,26.9,5560,+/- 454,14.9,1859,+/- 310,12.7,2231,+/- 340,10.4,18532,+/- 929,21,6172,+/- 584,14.8,3168,+/- 377,16.4,14859,+/- 1054,17.7,8343,+/- 769,14,1664,+/- 331,12.9,10167,+/- 814,14,19130,+/- 833,17.9,3006,+/- 476,10.3,10447,+/- 761,17.6,5201,+/- 554,11.1,18862,+/- 1050,22.5,3018,+/- 336,12.6,7238,+/- 669,15.1,11864,+/- 699,15.9,5956,+/- 508,22.8,4874,+/- 500,15.2,17552,+/- 1054,16.9,11737,+/- 749,19.8,12448,+/- 772,13,8320,+/- 733,15.1,16344,+/- 1253,25.4,14461,+/- 1049,15.3,13793,+/- 828,18,11551,+/- 752,17.4,6035,+/- 648,20.2,10206,+/- 790,13.8,7710,+/- 705,18.2,8208,+/- 635,17,15684,+/- 795,17.1,12703,+/- 1072,21.3,4384,+/- 429,13.7,11361,+/- 653,14.8,5912,+/- 477,18.2,12963,+/- 725,14.6,11370,+/- 786,15.3,7927,+/- 514,16,1424,+/- 393,10.8,12875,+/- 858,16.2,2939,+/- 407,14,8846,+/- 642,13.2,5891,+/- 616,15.4,18287,+/- 941,19.1,7462,+/- 572,15.4,2529,+/- 405,16.6,6252,+/- 490,16.2,28388,+/- 1180,27.7,4912,+/- 425,13.1,13644,+/- 935,23.2,12123,+/- 778,15,2439,+/- 362,20.1,8818,+/- 779,19.8,4671,+/- 505,14.9,9438,+/- 754,14.3,5682,+/- 492,13.4,12443,+/- 903,16.3
