Subject,ZCTA5 10472,,,ZCTA5 11428,,,ZCTA5 11432,,,ZCTA5 11226,,,ZCTA5 11416,,,ZCTA5 10452,,,ZCTA5 11436,,,ZCTA5 11208,,,ZCTA5 10031,,,ZCTA5 11433,,,ZCTA5 11203,,,ZCTA5 11236,,,ZCTA5 11377,,,ZCTA5 10468,,,ZCTA5 11421,,,ZCTA5 11691,,,ZCTA5 11237,,,ZCTA5 11219,,,ZCTA5 11411,,,ZCTA5 11232,,,ZCTA5 11429,,,ZCTA5 11373,,,ZCTA5 11372,,,ZCTA5 11369,,,ZCTA5 11368,,
,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct
D1. AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,68796,+/- 1716,,18929,+/- 861,,62053,+/- 2158,,100277,+/- 2755,,27125,+/- 1152,,76078,+/- 1927,,20077,+/- 917,,98660,+/- 2227,,60254,+/- 2086,,36489,+/- 1610,,75451,+/- 1976,,100331,+/- 2339,,86421,+/- 2690,,78647,+/- 2135,,41002,+/- 1295,,67094,+/- 2785,,49310,+/- 1833,,90036,+/- 2709,,20759,+/- 771,,27602,+/- 1461,,27403,+/- 1261,,93967,+/- 2535,,61844,+/- 2482,,34118,+/- 1408,,112425,+/- 3121,
  Under 5 years,5404,+/- 601,7.9,934,+/- 187,4.9,4156,+/- 476,6.7,6841,+/- 670,6.8,1840,+/- 286,6.8,5322,+/- 552,7,1182,+/- 224,5.9,8567,+/- 760,8.7,3190,+/- 533,5.3,2254,+/- 351,6.2,4228,+/- 523,5.6,6574,+/- 528,6.6,4236,+/- 555,4.9,7573,+/- 817,9.6,2580,+/- 358,6.3,6877,+/- 924,10.2,2838,+/- 440,5.8,11604,+/- 757,12.9,938,+/- 168,4.5,1756,+/- 294,6.4,1343,+/- 284,4.9,5618,+/- 670,6,3423,+/- 634,5.5,2445,+/- 390,7.2,10131,+/- 940,9
  5 to 9 years,5460,+/- 677,7.9,1035,+/- 203,5.5,3148,+/- 354,5.1,6166,+/- 578,6.1,1642,+/- 231,6.1,6110,+/- 529,8,1263,+/- 191,6.3,7657,+/- 684,7.8,2445,+/- 452,4.1,2030,+/- 298,5.6,4570,+/- 461,6.1,5472,+/- 478,5.5,4155,+/- 436,4.8,5607,+/- 597,7.1,2321,+/- 285,5.7,6294,+/- 642,9.4,2782,+/- 326,5.6,8794,+/- 630,9.8,854,+/- 143,4.1,2008,+/- 264,7.3,1380,+/- 245,5,5164,+/- 539,5.5,2983,+/- 441,4.8,1715,+/- 244,5,8373,+/- 658,7.4
  10 to 14 years,4874,+/- 562,7.1,1030,+/- 182,5.4,3488,+/- 358,5.6,5767,+/- 509,5.8,1769,+/- 229,6.5,6605,+/- 638,8.7,1277,+/- 210,6.4,6547,+/- 561,6.6,2613,+/- 438,4.3,2723,+/- 423,7.5,4297,+/- 417,5.7,6425,+/- 483,6.4,4138,+/- 467,4.8,5057,+/- 520,6.4,2456,+/- 301,6,4748,+/- 591,7.1,3187,+/- 399,6.5,8067,+/- 634,9,1253,+/- 186,6,1328,+/- 214,4.8,1533,+/- 218,5.6,4804,+/- 442,5.1,3220,+/- 505,5.2,1946,+/- 251,5.7,7821,+/- 693,7
  15 to 19 years,4802,+/- 509,7,1165,+/- 193,6.2,5338,+/- 486,8.6,5763,+/- 532,5.7,1970,+/- 225,7.3,5939,+/- 570,7.8,1149,+/- 163,5.7,6782,+/- 538,6.9,2998,+/- 482,5,2717,+/- 378,7.4,4220,+/- 403,5.6,6405,+/- 482,6.4,3535,+/- 436,4.1,4654,+/- 509,5.9,2445,+/- 287,6,4326,+/- 532,6.4,2549,+/- 369,5.2,6166,+/- 438,6.8,1013,+/- 143,4.9,1286,+/- 221,4.7,1741,+/- 237,6.4,4710,+/- 503,5,2272,+/- 398,3.7,1862,+/- 254,5.5,6385,+/- 635,5.7
  20 to 24 years,6022,+/- 659,8.8,1171,+/- 207,6.2,4948,+/- 490,8,7104,+/- 601,7.1,2000,+/- 258,7.4,6311,+/- 655,8.3,1471,+/- 199,7.3,7446,+/- 607,7.5,5539,+/- 673,9.2,2825,+/- 371,7.7,5205,+/- 429,6.9,7363,+/- 548,7.3,4713,+/- 572,5.5,6465,+/- 645,8.2,3117,+/- 310,7.6,4628,+/- 625,6.9,5265,+/- 527,10.7,6314,+/- 508,7,1491,+/- 219,7.2,1790,+/- 287,6.5,2242,+/- 306,8.2,5807,+/- 579,6.2,2746,+/- 438,4.4,2413,+/- 268,7.1,7834,+/- 705,7
  25 to 34 years,10791,+/- 746,15.7,2688,+/- 310,14.2,8948,+/- 646,14.4,19158,+/- 1045,19.1,3998,+/- 353,14.7,12182,+/- 926,16,3099,+/- 335,15.4,15704,+/- 935,15.9,14258,+/- 1158,23.7,5687,+/- 585,15.6,10861,+/- 666,14.4,14252,+/- 685,14.2,13846,+/- 916,16,13943,+/- 964,17.7,6031,+/- 491,14.7,9521,+/- 915,14.2,13520,+/- 829,27.4,12828,+/- 808,14.2,2524,+/- 275,12.2,6363,+/- 657,23.1,3955,+/- 384,14.4,16702,+/- 969,17.8,9819,+/- 942,15.9,5064,+/- 445,14.8,20989,+/- 1126,18.7
