Subject,ZCTA5 10472,,,ZCTA5 11428,,,ZCTA5 11432,,,ZCTA5 11226,,,ZCTA5 11416,,,ZCTA5 10452,,,ZCTA5 11436,,,ZCTA5 11208,,,ZCTA5 10031,,,ZCTA5 11433,,,ZCTA5 11203,,,ZCTA5 11236,,,ZCTA5 11377,,,ZCTA5 10468,,,ZCTA5 11421,,,ZCTA5 11691,,,ZCTA5 11237,,,ZCTA5 11219,,,ZCTA5 11411,,,ZCTA5 11232,,,ZCTA5 11429,,,ZCTA5 11373,,,ZCTA5 11372,,,ZCTA5 11369,,,ZCTA5 11368,,
,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct
H1. HOUSING OCCUPANCY AND TENURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Housing units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total housing units,23392,+/- 207,,5973,+/- 157,,20030,+/- 369,,40323,+/- 447,,7768,+/- 178,,27121,+/- 201,,6008,+/- 143,,36961,+/- 301,,23802,+/- 329,,11574,+/- 240,,30926,+/- 364,,35587,+/- 397,,33753,+/- 537,,27515,+/- 393,,12746,+/- 220,,22126,+/- 307,,17987,+/- 314,,27060,+/- 414,,6482,+/- 169,,9287,+/- 208,,7752,+/- 172,,33886,+/- 375,,26057,+/- 326,,12931,+/- 195,,30734,+/- 391,
  Occupied housing units,21887,+/- 301,93.6,5558,+/- 187,93.1,18547,+/- 456,92.6,36733,+/- 612,91.1,7217,+/- 210,92.9,26126,+/- 314,96.3,5581,+/- 181,92.9,32181,+/- 477,87.1,21959,+/- 453,92.3,10519,+/- 287,90.9,27761,+/- 445,89.8,33282,+/- 452,93.5,31400,+/- 657,93,26338,+/- 469,95.7,11638,+/- 277,91.3,20594,+/- 465,93.1,16740,+/- 342,93.1,24430,+/- 490,90.3,6270,+/- 177,96.7,8812,+/- 239,94.9,7340,+/- 218,94.7,30285,+/- 504,89.4,23814,+/- 516,91.4,10294,+/- 315,79.6,28502,+/- 458,92.7
    Owner-occupied,3122,+/- 297,14.3,3832,+/- 195,68.9,6791,+/- 349,36.6,4564,+/- 326,12.4,3124,+/- 236,43.3,702,+/- 186,2.7,4065,+/- 210,72.8,8377,+/- 446,26,2734,+/- 311,12.5,4676,+/- 327,44.5,11278,+/- 401,40.6,16228,+/- 500,48.8,9688,+/- 538,30.9,2000,+/- 240,7.6,6460,+/- 332,55.5,4964,+/- 389,24.1,1668,+/- 225,10,6687,+/- 382,27.4,5390,+/- 198,86,2222,+/- 216,25.2,5280,+/- 268,71.9,8914,+/- 532,29.4,7543,+/- 538,31.7,5609,+/- 281,54.5,6175,+/- 404,21.7
    Renter-occupied,18765,+/- 468,85.7,1726,+/- 232,31.1,11756,+/- 457,63.4,32169,+/- 620,87.6,4093,+/- 217,56.7,25424,+/- 377,97.3,1516,+/- 182,27.2,23804,+/- 534,74,19225,+/- 509,87.5,5843,+/- 363,55.5,16483,+/- 461,59.4,17054,+/- 527,51.2,21712,+/- 729,69.1,24338,+/- 500,92.4,5178,+/- 306,44.5,15630,+/- 493,75.9,15072,+/- 408,90,17743,+/- 514,72.6,880,+/- 157,14,6590,+/- 299,74.8,2060,+/- 232,28.1,21371,+/- 701,70.6,16271,+/- 629,68.3,4685,+/- 274,45.5,22327,+/- 538,78.3
    Average household size of owner-occupied unit,3.58,+/- 0.59,,3.67,+/- 0.31,,3.25,+/- 0.25,,3.22,+/- 0.39,,4.02,+/- 0.42,,2.86,+/- 1.13,,3.63,+/- 0.29,,3.32,+/- 0.28,,2.68,+/- 0.53,,4.07,+/- 0.45,,2.99,+/- 0.16,,3.3,+/- 0.16,,2.6,+/- 0.23,,2.82,+/- 0.56,,3.6,+/- 0.28,,3.94,+/- 0.46,,3.22,+/- 0.67,,3.53,+/- 0.33,,3.33,+/- 0.19,,2.96,+/- 0.47,,3.89,+/- 0.33,,3.19,+/- 0.29,,2.28,+/- 0.28,,3.29,+/- 0.26,,3.65,+/- 0.35,
    Average household size of renter-occupied unit,3.03,+/- 0.13,,2.81,+/- 0.6,,3.01,+/- 0.2,,2.64,+/- 0.09,,3.54,+/- 0.3,,2.88,+/- 0.09,,3.33,+/- 0.65,,2.95,+/- 0.11,,2.73,+/- 0.13,,2.96,+/- 0.31,,2.43,+/- 0.13,,2.65,+/- 0.14,,2.8,+/- 0.15,,2.94,+/- 0.11,,3.42,+/- 0.34,,2.86,+/- 0.17,,2.82,+/- 0.14,,3.68,+/- 0.19,,3.17,+/- 0.92,,2.88,+/- 0.22,,3.26,+/- 0.6,,3.05,+/- 0.16,,2.72,+/- 0.19,,3.13,+/- 0.29,,3.99,+/- 0.18,
  Vacant housing units,1505,+/- 242,6.4,415,+/- 108,6.9,1483,+/- 278,7.4,3590,+/- 384,8.9,551,+/- 113,7.1,995,+/- 235,3.7,427,+/- 108,7.1,4780,+/- 402,12.9,1843,+/- 350,7.7,1055,+/- 201,9.1,3165,+/- 306,10.2,2305,+/- 238,6.5,2353,+/- 422,7,1177,+/- 266,4.3,1108,+/- 209,8.7,1532,+/- 382,6.9,1247,+/- 202,6.9,2630,+/- 349,9.7,212,+/- 74,3.3,475,+/- 125,5.1,412,+/- 110,5.3,3601,+/- 427,10.6,2243,+/- 411,8.6,2637,+/- 259,20.4,2232,+/- 301,7.3
