Subject,ZCTA5 10472,,,ZCTA5 11428,,,ZCTA5 11432,,,ZCTA5 11226,,,ZCTA5 11416,,,ZCTA5 10452,,,ZCTA5 11436,,,ZCTA5 11208,,,ZCTA5 10031,,,ZCTA5 11433,,,ZCTA5 11203,,,ZCTA5 11236,,,ZCTA5 11377,,,ZCTA5 10468,,,ZCTA5 11421,,,ZCTA5 11691,,,ZCTA5 11237,,,ZCTA5 11219,,,ZCTA5 11411,,,ZCTA5 11232,,,ZCTA5 11429,,,ZCTA5 11373,,,ZCTA5 11372,,,ZCTA5 11369,,,ZCTA5 11368,,
,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct
S1. HOUSEHOLDS BY TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Total households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total households,21887,+/- 301,,5558,+/- 187,,18547,+/- 456,,36733,+/- 612,,7217,+/- 210,,26126,+/- 314,,5581,+/- 181,,32181,+/- 477,,21959,+/- 453,,10519,+/- 287,,27761,+/- 445,,33282,+/- 452,,31400,+/- 657,,26338,+/- 469,,11638,+/- 277,,20594,+/- 465,,16740,+/- 342,,24430,+/- 490,,6270,+/- 177,,8812,+/- 239,,7340,+/- 218,,30285,+/- 504,,23814,+/- 516,,10294,+/- 315,,28502,+/- 458,
  Family households,15248,+/- 479,69.7,4682,+/- 181,84.2,12931,+/- 518,69.7,22243,+/- 778,60.6,6035,+/- 249,83.6,17347,+/- 553,66.4,4481,+/- 201,80.3,22771,+/- 661,70.8,11068,+/- 604,50.4,7696,+/- 339,73.2,18477,+/- 579,66.6,24398,+/- 637,73.3,19336,+/- 647,61.6,18130,+/- 673,68.8,9229,+/- 316,79.3,14133,+/- 569,68.6,8911,+/- 486,53.2,19092,+/- 527,78.1,4915,+/- 192,78.4,5813,+/- 277,66,5992,+/- 279,81.6,20774,+/- 590,68.6,14133,+/- 709,59.3,7147,+/- 291,69.4,22455,+/- 780,78.8
    With own children under 18 years,7951,+/- 591,36.3,1789,+/- 198,32.2,5564,+/- 415,30,9194,+/- 632,25,2803,+/- 265,38.8,9746,+/- 640,37.3,1551,+/- 193,27.8,10689,+/- 628,33.2,4143,+/- 539,18.9,3250,+/- 403,30.9,6722,+/- 524,24.2,9343,+/- 586,28.1,7640,+/- 586,24.3,9607,+/- 703,36.5,3680,+/- 336,31.6,6963,+/- 688,33.8,4282,+/- 394,25.6,10483,+/- 521,42.9,1481,+/- 181,23.6,2675,+/- 318,30.4,1995,+/- 242,27.2,8687,+/- 675,28.7,6100,+/- 664,25.6,3061,+/- 290,29.7,11430,+/- 757,40.1
    Married-couple families,6508,+/- 460,29.7,3616,+/- 207,65.1,9141,+/- 463,49.3,9823,+/- 507,26.7,3996,+/- 251,55.4,5983,+/- 449,22.9,2307,+/- 207,41.3,10825,+/- 600,33.6,5183,+/- 464,23.6,3476,+/- 387,33,8547,+/- 557,30.8,11704,+/- 551,35.2,13233,+/- 654,42.1,7183,+/- 575,27.3,5948,+/- 366,51.1,7824,+/- 578,38,4444,+/- 419,26.5,15617,+/- 584,63.9,2806,+/- 173,44.8,3643,+/- 320,41.3,3352,+/- 258,45.7,13947,+/- 662,46.1,8976,+/- 681,37.7,4591,+/- 307,44.6,12233,+/- 777,42.9
      With own children under 18 years,3308,+/- 345,15.1,1475,+/- 162,26.5,4474,+/- 353,24.1,4560,+/- 473,12.4,2056,+/- 231,28.5,3587,+/- 387,13.7,907,+/- 147,16.3,4979,+/- 412,15.5,2236,+/- 380,10.2,1602,+/- 275,15.2,2941,+/- 295,10.6,4634,+/- 370,13.9,5790,+/- 498,18.4,3742,+/- 456,14.2,2420,+/- 263,20.8,3862,+/- 501,18.8,2228,+/- 267,13.3,9283,+/- 454,38,992,+/- 139,15.8,1744,+/- 254,19.8,1244,+/- 175,16.9,6566,+/- 581,21.7,4080,+/- 498,17.1,2031,+/- 234,19.7,6800,+/- 531,23.9
"    Male householder, no wife present",1876,+/- 321,8.6,230,+/- 77,4.1,1075,+/- 212,5.8,2588,+/- 356,7,595,+/- 122,8.2,1970,+/- 378,7.5,631,+/- 134,11.3,2702,+/- 364,8.4,1590,+/- 348,7.2,842,+/- 232,8,1966,+/- 276,7.1,2419,+/- 319,7.3,2515,+/- 349,8,2463,+/- 444,9.4,1007,+/- 179,8.7,901,+/- 250,4.4,1116,+/- 227,6.7,1188,+/- 213,4.9,337,+/- 84,5.4,705,+/- 163,8,725,+/- 172,9.9,2460,+/- 351,8.1,1786,+/- 407,7.5,741,+/- 150,7.2,3575,+/- 438,12.5
      With own children under 18 years,705,+/- 222,3.2,33,+/- 22,0.6,242,+/- 100,1.3,759,+/- 198,2.1,139,+/- 55,1.9,832,+/- 263,3.2,104,+/- 58,1.9,921,+/- 217,2.9,500,+/- 217,2.3,206,+/- 84,2,617,+/- 172,2.2,764,+/- 175,2.3,691,+/- 201,2.2,961,+/- 286,3.6,280,+/- 88,2.4,406,+/- 174,2,516,+/- 159,3.1,418,+/- 142,1.7,99,+/- 48,1.6,280,+/- 114,3.2,188,+/- 83,2.6,644,+/- 189,2.1,908,+/- 314,3.8,255,+/- 96,2.5,1441,+/- 290,5.1
